tag,peak_idx,bw_used,prob_est,S_hat,theta_deg,rho,P_err_MAE,status
101,1,0.3,0.20733333333333334,"[80.3454, 0.0000, 74.9729, 0.5038]","[80.3454, 0.0000, 74.9729]",0.503765344619751,0.001191856145900727,PASS
101,3,0.3,0.13133333333333333,"[84.8422, 0.0000, 64.6261, 0.5055]","[84.8422, 0.0000, 64.6261]",0.5055446028709412,0.0014670389834005593,PASS
101,0,0.3,0.22466666666666665,"[68.8984, 0.0000, 81.3528, 0.5052]","[68.8984, 0.0000, 81.3528]",0.5051648616790771,0.0016490511529799591,PASS
100,0,0.1,1.0,"[87.5556, 0.0000, 0.0000, 0.5031]","[87.5556, 0.0000, 0.0000]",0.503146231174469,0.0020003818624047143,PASS
110,1,0.3,0.21333333333333335,"[54.9429, 89.6518, 0.0000, 0.5055]","[54.9429, 89.6518, 0.0000]",0.5054534673690796,0.0025800594390631764,PASS
001,0,0.1,1.0,"[0.0000, 0.0000, 89.2992, 0.5051]","[0.0000, 0.0000, 89.2992]",0.5050628781318665,0.0030413517536718605,PASS
101,2,0.3,0.15,"[40.9871, 0.0000, 84.7842, 0.5069]","[40.9871, 0.0000, 84.7842]",0.5069282054901123,0.003080826217454702,PASS
111,1,0.6,0.13133333333333333,"[77.4252, 57.7352, 40.8889, 0.5063]","[77.4252, 57.7352, 40.8889]",0.5062904953956604,0.003542109863744946,PASS
110,0,0.3,0.37933333333333336,"[86.3059, 81.1535, 0.0000, 0.5098]","[86.3059, 81.1535, 0.0000]",0.5097688436508179,0.004538950662428962,PASS
111,2,0.6,0.102,"[53.6872, 35.3290, 74.7267, 0.5102]","[53.6872, 35.3290, 74.7267]",0.5102105140686035,0.004944165144537185,PASS
111,0,0.6,0.21866666666666668,"[75.5003, 33.3195, 53.2250, 0.5111]","[75.5003, 33.3195, 53.2250]",0.5110975503921509,0.005589862261388991,PASS
011,0,0.3,0.49133333333333334,"[0.0000, 83.6217, 87.0515, 0.5219]","[0.0000, 83.6217, 87.0515]",0.5218915939331055,0.012498182151888106,PASS
