tag,peak_idx,bw_used,prob_est,S_hat,error,status
101,2,0.3,0.21,"[84.9810, 0.0000, 63.3875, 0.5057]",1.72%,PASS
101,1,0.3,0.213,"[78.9860, 0.0000, 76.2354, 0.5038]",1.74%,PASS
101,0,0.3,0.215,"[69.0985, 0.0000, 81.3021, 0.5051]",1.81%,PASS
100,0,0.1,1.0,"[87.5510, 0.0000, 0.0000, 0.5031]",2.02%,PASS
101,3,0.3,0.208,"[85.9668, 0.0000, 32.2078, 0.5007]",2.52%,PASS
101,4,0.3,0.154,"[42.7394, 0.0000, 84.7144, 0.5070]",2.54%,PASS
110,1,0.3,0.16,"[54.9568, 89.6347, 0.0000, 0.5055]",2.63%,PASS
001,0,0.1,1.0,"[0.0000, 0.0000, 89.2971, 0.5050]",2.71%,PASS
111,2,0.7,0.249,"[79.0928, 50.7539, 42.5846, 0.5083]",3.48%,PASS
111,1,0.7,0.254,"[55.7193, 52.2232, 64.9529, 0.5086]",3.51%,PASS
110,0,0.3,0.369,"[87.3119, 79.9528, 0.0000, 0.5096]",3.55%,PASS
111,0,0.7,0.288,"[71.9286, 36.9796, 55.8586, 0.5103]",3.70%,PASS
