tag,prob_est,S_hat,error,status
111,0.291,"[77.4133, 56.7785, 47.0250, 0.6598]",0.93%,PASS
110,0.127,"[51.7948, 87.6057, 0.0000, 0.6587]",1.11%,PASS
111,0.158,"[76.8462, 38.8106, 73.8433, 0.6603]",1.12%,PASS
110,0.208,"[89.4728, 62.3270, 0.0000, 0.6589]",1.13%,PASS
110,0.167,"[72.2619, 86.4920, 0.0000, 0.6614]",1.22%,PASS
110,0.232,"[82.4506, 80.7590, 0.0000, 0.6615]",1.26%,PASS
101,0.157,"[89.2846, 0.0000, 30.7800, 0.6560]",1.43%,PASS
111,0.274,"[64.1766, 61.5998, 58.3315, 0.6623]",1.64%,PASS
101,0.174,"[88.8525, 0.0000, 64.2403, 0.6634]",1.81%,PASS
100,1.0,"[87.6127, 0.0000, 0.0000, 0.6628]",1.81%,PASS
101,0.203,"[83.2368, 0.0000, 78.2031, 0.6639]",1.93%,PASS
110,0.111,"[89.8486, 29.7707, 0.0000, 0.6538]",2.11%,PASS
101,0.215,"[72.9985, 0.0000, 84.0966, 0.6665]",2.81%,PASS
111,0.16,"[38.1394, 77.8189, 74.5560, 0.6662]",2.93%,PASS
011,0.394,"[0.0000, 84.0692, 85.7038, 0.6506]",3.63%,PASS
101,0.108,"[49.2499, 0.0000, 87.7134, 0.6688]",3.81%,PASS
