tag,prob_est,S_hat,error,status
110,0.17,"[40.5071, 86.0066, 0.0000, 0.5038]",1.55%,PASS
110,0.147,"[55.3084, 86.3085, 0.0000, 0.5054]",1.67%,PASS
110,0.231,"[78.2334, 79.8081, 0.0000, 0.5031]",1.86%,PASS
110,0.183,"[81.1932, 73.9831, 0.0000, 0.5021]",2.10%,PASS
010,1.0,"[0.0000, 87.2049, 0.0000, 0.5059]",2.15%,PASS
111,0.18,"[51.8574, 75.0818, 44.5620, 0.5062]",2.18%,PASS
111,0.3,"[67.1612, 69.3672, 35.4005, 0.5078]",2.59%,PASS
011,0.133,"[0.0000, 89.9062, 48.6336, 0.5028]",2.82%,PASS
011,0.342,"[0.0000, 82.8727, 82.0529, 0.5041]",2.84%,PASS
110,0.1,"[83.5626, 53.6058, 0.0000, 0.5009]",2.92%,PASS
011,0.142,"[0.0000, 89.7864, 56.6726, 0.5024]",2.93%,PASS
100,1.0,"[88.4278, 0.0000, 0.0000, 0.5052]",2.93%,PASS
101,0.325,"[89.5913, 0.0000, 82.7656, 0.5029]",2.93%,PASS
110,0.106,"[84.3585, 44.1011, 0.0000, 0.5009]",3.06%,PASS
111,0.263,"[45.9558, 72.0785, 58.3989, 0.5076]",3.25%,PASS
011,0.177,"[0.0000, 71.6067, 87.2611, 0.5088]",3.36%,PASS
101,0.173,"[76.8319, 0.0000, 88.7692, 0.5093]",3.52%,PASS
111,0.234,"[70.6554, 45.4111, 73.2673, 0.5073]",3.65%,PASS
011,0.122,"[0.0000, 89.3277, 22.7948, 0.5103]",3.77%,PASS
