tag,prob_est,S_hat,error,status
111,0.138,"[53.4253, 55.2115, 68.0093, 0.6604]",1.06%,PASS
011,0.179,"[0.0000, 53.6529, 88.3909, 0.6589]",1.07%,PASS
101,0.109,"[77.7006, 0.0000, 83.5312, 0.6610]",1.19%,PASS
111,0.134,"[70.8365, 32.6320, 71.7120, 0.6594]",1.25%,PASS
001,1.0,"[0.0000, 0.0000, 87.9988, 0.6610]",1.26%,PASS
111,0.102,"[76.9653, 73.0622, 67.4086, 0.6615]",1.31%,PASS
111,0.259,"[69.4394, 59.0414, 54.2258, 0.6592]",1.44%,PASS
111,0.296,"[40.3653, 57.6435, 75.7231, 0.6620]",1.50%,PASS
011,0.124,"[0.0000, 87.6186, 50.1340, 0.6558]",1.70%,PASS
110,0.239,"[85.8206, 87.2642, 0.0000, 0.6631]",1.78%,PASS
101,0.113,"[59.3688, 0.0000, 87.7308, 0.6639]",1.96%,PASS
011,0.492,"[0.0000, 81.0048, 81.2139, 0.6497]",3.86%,PASS
