tag,prob_est,S_hat,error,status
011,0.125,"[0.0000, 29.7892, 86.9794, 0.6299]",1.53%,PASS
001,1.0,"[0.0000, 0.0000, 86.1555, 0.6313]",1.77%,PASS
011,0.214,"[0.0000, 85.5226, 52.6798, 0.6313]",1.77%,PASS
111,0.447,"[31.7630, 57.5489, 71.9073, 0.6324]",1.81%,PASS
011,0.154,"[0.0000, 54.0047, 85.9146, 0.6291]",1.83%,PASS
011,0.159,"[0.0000, 67.7615, 84.0548, 0.6281]",2.09%,PASS
101,0.108,"[86.9858, 0.0000, 55.0855, 0.6298]",2.19%,PASS
101,0.202,"[53.4639, 0.0000, 89.2024, 0.6331]",2.24%,PASS
010,1.0,"[0.0000, 89.7111, 0.0000, 0.6322]",2.29%,PASS
101,0.21,"[75.3635, 0.0000, 84.0592, 0.6287]",2.33%,PASS
101,0.193,"[80.1826, 0.0000, 79.4962, 0.6283]",2.44%,PASS
111,0.104,"[60.1919, 63.1954, 51.2515, 0.6328]",2.72%,PASS
011,0.348,"[0.0000, 78.7292, 79.2042, 0.6247]",3.03%,PASS
